candidate_id,election_id,first_name,last_name,parties,photo_url,slug,thumb_url,full_name,boe_name,OffNme,CndID,CndNme
251493,368,Proco,Moreno,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251493/251493.jpg,proco-moreno,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251493/thumb_251493.jpg,PROCO MORENO,"PROCO ""JOE"" MORENO",For Alderman 1st Ward,36.0,"PROCO ""JOE"" MORENO"
251494,368,Daniel,La Spata,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251494/251494.jpg,daniel-la-spata,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251494/thumb_251494.jpg,DANIEL LA SPATA,DANIEL LA SPATA,For Alderman 1st Ward,64.0,DANIEL LA SPATA
251496,368,Trevor,Grant,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251496/251496.jpg,trevor-joseph-grant,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251496/thumb_251496.jpg,TREVOR GRANT,TREVOR JOSEPH GRANT,For Alderman 1st Ward,169.0,TREVOR JOSEPH GRANT
251497,368,Brian,Hopkins,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251497/251497.jpg,brian-hopkins,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251497/thumb_251497.jpg,BRIAN HOPKINS,BRIAN HOPKINS,For Alderman 2nd Ward,85.0,BRIAN HOPKINS
251498,368,Patricia,Dowell,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251498/251498.jpg,patricia-dowell,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251498/thumb_251498.jpg,PATRICIA DOWELL,"PATRICIA ""PAT"" DOWELL",For Alderman 3rd Ward,114.0,"PATRICIA ""PAT"" DOWELL"
251499,368,Alexandria,Willis,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251499/251499.jpg,alexandria-willis,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251499/thumb_251499.jpg,ALEXANDRIA WILLIS,ALEXANDRIA WILLIS,For Alderman 3rd Ward,119.0,ALEXANDRIA WILLIS
251501,368,Andre,Love,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",,andre-s-love,,ANDRE LOVE,,,,
251503,368,Sophia,King,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251503/251503.jpg,sophia-king,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251503/thumb_251503.jpg,SOPHIA KING,SOPHIA KING,For Alderman 4th Ward,98.0,SOPHIA KING
251504,368,Ebony,Lucas,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251504/251504.jpg,ebony-d-lucas,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251504/thumb_251504.jpg,EBONY LUCAS,EBONY D. LUCAS,For Alderman 4th Ward,72.0,EBONY D. LUCAS
251505,368,Leslie,Hairston,"[{'name': 'Nonpartisan', 'short_name': 'NP', 'id': 41}]",https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251505/251505.jpg,leslie-a-hairston,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/251505/thumb_251505.jpg,LESLIE HAIRSTON,LESLIE A. HAIRSTON,For Alderman 5th Ward,81.0,LESLIE A. HAIRSTON
